Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Department of Defence,,CN1116472,2013-01-02, ,published,2012-12-21,2013-01-30,46253.99,Software,4500879469,Software,Limited tender,,,No,,No,,No,,,IBM AUSTRALIA LTD,PO Box 400,PENNANT HILLS,1715,AUSTRALIA,No,79000024733,Navy Hydrographic Office,Australian Capital Territory,2500
Department of Defence,,CN1116492,2013-01-02, ,published,2012-12-21,2013-06-28,273075.00,Analysis of networked electronic warfare systems,4500879467,Computer programmers,Limited tender,,,No,,No,,No,,,SWORDFISH COMPUTING PTY LTD (ATF),99 MOUNT OSMOND ROAD,MOUNT OSMOND,5064,AUSTRALIA,No,24562402616,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1116502,2013-01-02, ,published,2012-12-21,2013-06-30,25967.43,Supply and Install new Compactus,4500879466,Office supplies,Limited tender,,,No,,No,,No,,,CANBERRA AIRPORT,2 BRINDABELLA CIRCUIT,CANBERRA AIRPORT,2609,AUSTRALIA,No,52080711191,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116512,2013-01-02, ,published,2012-12-21,2013-06-30,172035.44,Project Management and support,4500879465,Project management,Limited tender,,,No,,No,,No,,,AURECON AUSTRALIA PTY LTD,PO Box 321,SOUTH MELBOURNE,3205,AUSTRALIA,No,54005139873,VCDF Joint Health Command,Australian Capital Territory,2600
Department of Defence,,CN1116522,2013-01-02, ,published,2012-12-21,2013-01-07,19250.00,Training Room Furniture,4500879462,Classroom and instructional and institutional furniture and fixtures,Limited tender,,,No,,No,,No,,,STAPLES AUSTRALIA PTY LIMITED,317-323 LITTLE SPENCE ST,CAIRNS,4870,AUSTRALIA,No,94000728398,DSG Defence Support Operations Division,Australian Capital Territory,4870
Department of Defence,,CN1116532,2013-01-02, ,published,2012-12-21,2013-04-29,75868.40,System and software engineering support services,4500879459,Professional engineering services,Limited tender,,SON238172,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LTD,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,29008423005,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1116542,2013-01-02, ,published,2012-12-21,2013-06-30,18975.00,Land Acquisition,4500879454,Management advisory services,Limited tender,,,No,,No,,No,,,UNITED GROUP SERVICES PTY LTD,PO Box 1511,WODEN,2606,AUSTRALIA,No,77074196991,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116562,2013-01-02, ,published,2012-12-21,2013-01-28,87054.00,Acquisition of software,4500879451,Software maintenance and support,Limited tender,,,Yes,Costing/profit information,Yes,Statutory secrecy provisions,No,,,ESRI-AUSTRALIA PTY LTD,PO Box 15459,BRISBANE,4002,AUSTRALIA,No,16008852775,Intelligence & Security,Australian Capital Territory,2601
Department of Defence,,CN1116572,2013-01-02, ,published,2012-12-21,2013-02-28,16236.00,Proximate and Dietary Fibre Analysis,4500879448,Food and nutrition services,Limited tender,,,No,,No,,No,,,ALS LABORATORY GROUP PTY LTD,32 SHAND ST,STAFFORD,4053,AUSTRALIA,No,84009936029,DSTO Platforms & Human Systems,Australian Capital Territory,7620
Department of Defence,,CN1116582,2013-01-02, ,published,2012-12-21,2013-02-28,12199.00,Microbiological analysis,4500879446,Food and nutrition services,Limited tender,,,No,,No,,No,,,EML PTY LTD,PO Box 66,EVERTON PARK,4053,AUSTRALIA,No,71006308774,DSTO Platforms & Human Systems,Australian Capital Territory,7620
Department of Defence,,CN1116612,2013-01-02, ,published,2012-12-20,2013-02-01,13956.10,Procurement of Telephone Handsets,4500879431,Telephony equipment,Limited tender,,,No,,No,,No,,,AVAYA AUSTRALIA PTY LTD,12 MOORE ST,CANBERRA CITY,2601,AUSTRALIA,No,73092276983,CIOG ICTOD,Australian Capital Territory,2620
Department of Defence,,CN1116632,2013-01-02, ,published,2012-12-20,2013-02-06,23370.46,Procurment of telephone conference licences,4500879412,Telephony equipment,Limited tender,,,No,,No,,No,,,NSC ENTERPRISE SOLUTIONS,LEVEL 3,NORTH RYDE,2113,AUSTRALIA,No,34055544048,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1116642,2013-01-02, ,published,2012-12-20,2013-06-14,32725.00,Services of a qualified and skilled technician,4500879411,Maintenance or support fees,Limited tender,,,No,,No,,No,,,THE TRUSTEE FOR THE SELLAR FAMILY,INNOVATION HOUSE MAWSON LAKES,MAWSON LAKES,5095,AUSTRALIA,No,88969936238,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1116652,2013-01-02, ,published,2012-12-20,2013-09-30,89512.50,Research Agreement,4500879410,Research programs,Limited tender,,,Yes,Other - TRADE SECRETS,Yes,Other - TRADE SECRETS,No,,,FLINDERS UNIVERSITY,PO Box 2100,ADELAIDE,5001,AUSTRALIA,No,65542596200,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1116702,2013-01-02, ,published,2012-12-20,2013-06-30,914771.00,Software,4500879397,Software,Limited tender,,,No,,No,,No,,,DATA 3 LIMITED,PO Box 551,INDOOROOPILLY QLD,4068,AUSTRALIA,No,31010545267,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1116712,2013-01-02, ,published,2012-12-20,2013-06-28,65764.57,Supply of pressure transducers,4500879385,Measuring and observing and testing instruments,Limited tender,,,No,,No,,No,,,APPLIED MEASUREMENT AUST PTY LTD,PO Box 159,OAKLEIGH,3166,AUSTRALIA,No,64005188081,DSTO Platforms & Human Systems,Australian Capital Territory,4069
Department of Defence,,CN1116762,2013-01-02, ,published,2012-12-21,2013-04-26,19520.60,Building hire,4500879514,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,EXMOUTH CRANE & TRUCK HIRE,PO Box 397,BELMONT,6984,AUSTRALIA,No,58056756445,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1116782,2013-01-02, ,published,2012-12-21,2013-05-30,43560.00,Environmental Assessment of Hammerhead Crane,4500879512,Environmental management,Limited tender,,,No,,No,,No,,,GODDEN MACKAY LOGAN,78 GEORGE ST,REDFERN,2016,AUSTRALIA,No,60001179362,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116802,2013-01-02, ,published,2012-12-21,2013-05-30,547383.95,Upgrade of disk Virtualisation system,4500879507,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,IBM AUSTRALIA LTD,PO Box 400,PENNANT HILLS,1715,AUSTRALIA,No,79000024733,Intelligence & Security,Australian Capital Territory,2601
Department of Defence,,CN1116822,2013-01-02, ,published,2012-12-21,2013-03-31,27791.07,Condition monitoring apparatus,4500879505,Measuring and observing and testing instruments,Limited tender,,,No,,No,,No,,,GASTOPS LTD,1011 POLYTEK ST,GLOUCESTER,K1J 9J3,CANADA,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1116842,2013-01-02, ,published,2012-12-21,2013-06-30,17996.00,Current Quarter Green Lease Services assessment,4500879503,Management advisory services,Limited tender,,,No,,No,,No,,,UNITED GROUP SERVICES PTY LTD,PO Box 1511,WODEN,2606,AUSTRALIA,No,77074196991,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116852,2013-01-02, ,published,2012-12-21,2013-06-30,41563.50,Heritage Impact Assessment and Report,4500879500,Cultural heritage preservation or promotion services,Limited tender,,,Yes,Costing/profit information,No,,No,,,ENVIRONMENTAL RESOURCES MANAGEMENT,PO Box 1400,SPRING HILL,4000,AUSTRALIA,No,12002773248,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116862,2013-01-02, ,published,2012-12-21,2013-06-30,31227.44,Software,4500879499,Software,Limited tender,,,No,,No,,No,,,AUSSIE TELECOM PTY LIMITED,PO Box 516,DOUBLE BAY,2028,AUSTRALIA,No,76075484892,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1116872,2013-01-02, ,published,2012-12-21,2013-06-28,23980.00,Experience aeronautical engineering support,4500879497,Computer services,Limited tender,,,No,,No,,No,,,QUANTITATIVE AERONAUTICS,PO Box 231,GLEBE,2037,AUSTRALIA,No,65088688680,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1116902,2013-01-02, ,published,2012-12-21,2013-11-13,20319.00,Software,4500879494,Software,Limited tender,,,No,,No,,No,,,ORACLE CORPORATION AUSTRALIA,PO Box GPO 1313,SYDNEY,2001,AUSTRALIA,No,80003074468,Navy Hydrographic Office,Australian Capital Territory,2500
Department of Defence,,CN1116922,2013-01-02, ,published,2012-12-21,2013-01-30,15790.45,Software Licence,4500879492,Software,Limited tender,,,No,,No,,No,,,DATA 3 GROUP,PO Box 426,NORTH SYDNEY,2059,AUSTRALIA,No,31010545267,Navy Hydrographic Office,Australian Capital Territory,2500
Department of Defence,,CN1116952,2013-01-02, ,published,2012-12-21,2013-02-28,27837.92,On-call support to DSTO Transonic Wind Tunnel,4500879485,Laboratory and scientific equipment,Limited tender,,,No,,No,,No,,,AERO SYSTEMS ENGINEERING INC. DBA A,358 E FILLMORE AVE,SAINT PAUL,55107-1289,UNITED STATES,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1116972,2013-01-02, ,published,2012-12-21,2013-06-30,546789.78,Risk Assessment,4500879483,Environmental management,Limited tender,,,No,,No,,No,,,CH2M HILL AUST PTY LTD,PO Box 5392,CHATSWOOD,1515,AUSTRALIA,No,42050070892,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1116992,2013-01-02, ,published,2012-12-21,2013-06-30,25850.00,Land Acquisition,4500879479,Management advisory services,Limited tender,,,No,,No,,No,,,UNITED GROUP SERVICES PTY LTD,PO Box 1511,WODEN,2606,AUSTRALIA,No,77074196991,DSG Infrastructure Division,Australian Capital Territory,2609
Department of Defence,,CN1117002,2013-01-02, ,published,2012-12-21,2013-05-31,19453.00,Pressure Calibration Unit,4500879478,Laboratory and scientific equipment,Limited tender,,,No,,No,,No,,,MEASUREMENT SPECIALTIES INC. DBA IC,1000 LUCAS WAY,HAMPTON,23666-1573,UNITED STATES,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117012,2013-01-02, ,published,2012-12-21,2014-06-30,200000.02,Research Services,4500879474,Military science and research,Limited tender,,,Yes,Costing/profit information,Yes,Statutory secrecy provisions,No,,,UNI OF SA - FINANCIAL SERVICES,PO Box 2471,ADELAIDE,5001,AUSTRALIA,No,37191313308,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117022,2013-01-02, ,published,2012-12-21,2013-02-28,19444.70,Maintenance of autonomous underwater vehicle,4500879472,Maintenance or support fees,Limited tender,,,No,,No,,No,,,UVS PTY LTD,PO Box 129,BORONIA,3155,AUSTRALIA,No,97150810898,DSTO Platforms & Human Systems,Australian Capital Territory,2015
Department of Defence,,CN1117032,2013-01-02, ,published,2012-12-20,2013-03-01,52123.50,Video teleconfering equipment,4500879365,Data Voice or Multimedia Network Equipment or Platforms and Accessories,Limited tender,,,No,,No,,No,,,DATA3 GROUP,PO Box 551,INDOOROOPILLY,4068,AUSTRALIA,No,31010545267,DSTO Information & Weapon Systems,Australian Capital Territory,2600
Department of Defence,,CN1117042,2013-01-02, ,published,2012-12-20,2014-02-28,14734.20,Renewal of existing software license,4500879277,Software maintenance and support,Limited tender,,,No,,No,,No,,,EM SOFTWARE & SYSTEMS SA PTY LTD,EMSS BUILDING,STELLENBOSCH,7600,SOUTH AFRICA,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117052,2013-01-02, ,published,2012-12-20,2013-02-28,35794.00,Provision of IT Training Services,4500879275,Education and Training Services,Limited tender,,,No,,No,,No,,,CRYSTAL ECHO PTY LTD,PO Box 892,NORTH SYDNEY,2059,AUSTRALIA,No,50082918081,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1117062,2013-01-02, ,published,2012-12-20,2013-01-31,12005.01,Purchase of parametric software tool licences,4500879272,Software,Limited tender,,,No,,No,,No,,,QUANTITATIVE SOFTWARE MANAGEMENT,2000 CORPORATE RDG STE 700,MC LEAN,22102-7805,UNITED STATES,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1117092,2013-01-02, ,published,2012-12-19,2013-02-15,32001.20,Computer server,4500879245,Computer servers,Limited tender,,,No,,No,,No,,,ALFA COMPUTERS PTY LTD,PO Box 6433,ALEXANDRIA,2015,AUSTRALIA,No,54003222517,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117112,2013-01-02, ,published,2012-12-19,2015-06-30,2299808.50,IT Maintenance and Support Services,4500879229,Software,Limited tender,,,No,,No,,No,,,UNISYS AUSTRALIA LIMITED,PO Box 288,CONCORD WEST,2138,AUSTRALIA,No,31105642902,CIOG CTO,Australian Capital Territory,2600
Department of Defence,,CN1117132,2013-01-02, ,published,2012-12-19,2013-02-23,20466.60,Coupon Manufacturing,4500879222,Machine made parts,Limited tender,,,No,,No,,No,,,B M P ENGINEERING PTY LTD,UNIT 3&4 / 50 BARRIE RD,TULLAMARINE,3043,AUSTRALIA,No,20061793146,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117142,2013-01-02, ,published,2012-12-19,2013-03-31,249430.92,Sample billets of specialist steel plate,4500879221,Structural materials and basic shapes,Limited tender,,,No,,No,,No,,,INDUSTEEL FRANCE,LE CREUSOT,LE CREUSOT,71200,FRANCE,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117152,2013-01-02, ,published,2012-12-19,2013-05-17,172700.00,Software Development Contract,4500879217,Software or hardware engineering,Limited tender,,,No,,No,,No,,,SONARTECH ATLAS PTY LTD,PO Box 1413,MACQUARIE CENTRE,2113,AUSTRALIA,No,89081933280,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1117162,2013-01-02, ,published,2012-12-19,2013-02-15,11047.30,Supply and install components,4500879208,Printed circuits and integrated circuits and microassemblies,Limited tender,,,No,,No,,No,,,FINE-TECH ELECTRONIC SOLUTIONS,4-6 PROVIDENT AVE,GLYNDE,5070,AUSTRALIA,No,75067181060,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117182,2013-01-02, ,published,2012-12-19,2013-02-01,22209.73,Server Equipment,4500879204,Computers,Limited tender,CIOG077/1112/AU/784345/CTH,,No,,No,,No,,,ORACLE CORPORATION AUSTRALIA,PO Box GPO 1313,SYDNEY,2001,AUSTRALIA,No,80003074468,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117192,2013-01-02, ,published,2012-12-19,2013-02-04,43445.60,Oscilloscope,4500879202,Laboratory and scientific equipment,Limited tender,,,No,,No,,No,,,TRIO SMARTCAL PTY LTD,13 SYDENHAM RD,NORWOOD,5067,AUSTRALIA,No,79119968491,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117202,2013-01-02, ,published,2012-12-19,2013-02-28,12497.10,Security containers,4500879200,Locks and security hardware and accessories,Limited tender,,,No,,No,,No,,,PLANEX SALES PTY LTDLTD,PO Box 125,HALLAM,3803,AUSTRALIA,No,46005567528,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117212,2013-01-02, ,published,2012-12-19,2013-03-29,38132.60,Metal machining,4500879199,Machine made parts,Limited tender,,,No,,No,,No,,,JACK THOMPSON ENGINEERING PTY. LTD.,1840 FRANKSTON FLINDERS RD,HASTINGS,3915,AUSTRALIA,No,47008410179,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117222,2013-01-02, ,published,2012-12-19,2013-04-22,15026.00,Air extraction system,4500879194,Heating and ventilation and air circulation,Limited tender,,,No,,No,,No,,,H.N.S. FUME AND DUST CONTROL,PO Box 367,THOMASTOWN,3074,AUSTRALIA,No,75006595991,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117242,2013-01-02, ,published,2012-12-19,2013-02-08,119091.50,Gym Equipment,4500879181,Sports equipment and accessories,Limited tender,,SON463909,No,,No,,No,,,LIFE FITNESS AUSTRALIA PTY LTD,50 DUNLOP RD,MULGRAVE,3170,AUSTRALIA,No,98079300815,DSG Defence Support Operations Division,Australian Capital Territory,4813
Department of Defence,,CN1117252,2013-01-02, ,published,2012-12-19,2013-01-01,18789.38,software subscription renewal,4500879179,Software,Limited tender,,,No,,No,,No,,,CUSTOM TECHNOLOGY AUSTRALIA PTY LTD,PO Box 514,BEECROFT,2119,AUSTRALIA,No,18003647265,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1117262,2013-01-02, ,published,2012-12-19,2013-01-29,11220.00,Specialist transport,4500879178,Education and Training Services,Limited tender,,,No,,No,,No,,,SIMON NATIONAL CARRIERS,PO Box 415,TOOWOOMBA,4350,AUSTRALIA,No,24009898159,Air Force Air Command,Australian Capital Territory,2314
Department of Defence,,CN1117322,2013-01-02, ,published,2012-12-20,2013-04-02,12053.75,Watercraft low voltage lighting,4500879364,Marine transport,Limited tender,,,No,,No,,No,,,TAYLOR MARINE,PO Box 192,FREMANTLE,6959,AUSTRALIA,No,61007869696,VCDF Joint Logistics Command,Australian Capital Territory,6055
Department of Defence,,CN1117342,2013-01-02, ,published,2012-12-20,2013-05-03,67095.00,Services by Unmanned Aerial Systems Technicians,4500879358,Manufacturing support services,Limited tender,,,No,,No,,No,,,EXPERIMENTAL MILITARY AIRFRAME,74 FEDERATION WAY,ANDREWS FARM,5114,AUSTRALIA,No,69117998526,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117362,2013-01-02, ,published,2012-12-20,2013-02-04,33455.40,HARD DISKS,4500879348,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,ALFA COMPUTERS PTY LTD,PO Box 6433,ALEXANDRIA,2015,AUSTRALIA,No,54003222517,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117372,2013-01-02, ,published,2012-12-20,2013-06-30,16427.84,REPLACEMENT OF TRANSFORMER,4500879339,Building construction and support and maintenance and repair services,Limited tender,,,No,,No,,No,,,TRANSFIELD SERVICES,PO Box 74,SALISBURY,5108,AUSTRALIA,No,11093114553,DSG Infrastructure Division,Australian Capital Territory,5111
Department of Defence,,CN1117382,2013-01-02, ,published,2012-12-20,2013-01-07,12931.60,Ethernet Switch,4500879338,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,ALPHAWEST SERVICES PTY LTD,"LEVEL 6, 108 NORTH TERRACE",ADELAIDE,5000,AUSTRALIA,No,49009196347,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117392,2013-01-02, ,published,2012-12-20,2013-06-30,74800.00,AIR CONDITIONING AND OFFICE UPGRADE,4500879334,Building construction and support and maintenance and repair services,Limited tender,,,No,,No,,No,,,TRANSFIELD SERVICES,PO Box 74,SALISBURY,5108,AUSTRALIA,No,11093114553,DSG Infrastructure Division,Australian Capital Territory,5111
Department of Defence,,CN1117422,2013-01-02, ,published,2012-12-20,2013-06-30,77869.00,Weed Management,4500879322,Environmental management,Limited tender,,,No,,No,,No,,,JAMES COOK UNIVERSITY OF NORTH QLD,ANGUS SMITH DRV DOUGLAS CAMPUS,TOWNSVILLE,4810,AUSTRALIA,No,46253211955,DSG Defence Support Operations Division,Australian Capital Territory,4813
Department of Defence,,CN1117442,2013-01-02, ,published,2012-12-20,2014-06-20,12374.81,IT consortium membership,4500879317,Military science and research,Limited tender,,,No,,No,,No,,,OBJECT MANAGEMENT GROUP INC.,140 KENDRICK ST STE A130,NEEDHAM,02494-2814,UNITED STATES,Yes,,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1117452,2013-01-02, ,published,2012-12-20,2013-06-30,12100.00,Graduate recruitment advertising,4500879316,Advertising,Limited tender,,,No,,No,,No,,,UNIMAIL PTY LTD,LEVEL 3,SYDNEY,2000,AUSTRALIA,No,15091085148,PSPG HPP/DBAM,Australian Capital Territory,2609
Department of Defence,,CN1117462,2013-01-02, ,published,2012-12-20,2013-05-25,19250.00,Course Update & Training,4500879313,Education and Training Services,Limited tender,,,No,,No,,No,,,SALTBUSH TRAINING PTY LTD,PO Box 208,ERINDALE CENTRE,2903,AUSTRALIA,No,27121578014,CIOG ICTRD,Australian Capital Territory,2600
Department of Defence,,CN1117472,2013-01-02, ,published,2012-12-20,2013-08-31,23531.85,Computer hardware support services,4500879310,Computer services,Limited tender,,,No,,No,,No,,,ORACLE CORPORATION AUSTRALIA,PO Box GPO 1313,SYDNEY,2001,AUSTRALIA,No,80003074468,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1117482,2013-01-02, ,published,2012-12-20,2013-01-31,10749.46,Fabricate Belden Cable Looms,4500879304,Laboratory and scientific equipment,Limited tender,,,No,,No,,No,,,QINETIQ,506 LORIMER STREET,PORT MELBOURNE,3207,AUSTRALIA,No,68125805647,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1117492,2013-01-02, ,published,2012-12-20,2013-02-01,14949.13,Power Supply,4500879298,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,OPTUS BILLING SERVICES PTY LTD,PO Box 3972,SYDNEY,1119,AUSTRALIA,No,95088011536,ESD - EW Branch,Australian Capital Territory,2600
Department of Defence,,CN1117502,2013-01-02, ,published,2012-12-20,2013-01-25,33524.70,January Vacation Care Program,4500879296,Human resources services,Limited tender,,,No,,No,,No,,,YMCA OF CANBERRA,7/100 MAITLAND ST,HACKETT,2602,AUSTRALIA,No,89952764183,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1117572,2013-01-02, ,published,2012-12-20,2013-01-13,40288.60,Software support maintenance,4500879286,Software,Limited tender,,,No,,No,,No,,,GENERAL DYNAMICS MEDIAWARE,GRD FL / 18-20 BRINDABELLA CIR,PIALLAGO,2609,AUSTRALIA,No,77077094798,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117592,2013-01-02, ,published,2012-12-20,2013-02-21,23980.00,Training,4500879283,Information technology consultation services,Limited tender,,,No,,No,,Yes,Skills currently unavailable within agency,,DIMENSION DATA LEARNING SOLUTIONS,PO Box 523,SYDNEY,2001,AUSTRALIA,No,55133222241,Army 1st Division,Australian Capital Territory,830
Department of Health and Ageing,,CN1117602,2013-01-02, ,published,2012-08-22,2012-12-15,18480.00, Threat/Risk Assessment for consultation tool ,,Temporary personnel services,Limited tender,,,No,,No,,No,,,Saltbush Consulting Pty Ltd,,DEAKIN,2600,AUSTRALIA,No,58134662963,,,2606
Australian Securities and Investments Commission,,CN1117622,2013-01-02, ,published,2012-12-25,2015-12-25,40240.62, Armoured Car Services  A3652351 ,5135,Security guard services,Limited tender,,,No,,No,,No,,,Specialist Australian Security Group P/L,,Alphinton,3078,AUSTRALIA,No,28094807173,,,2000
Australian Securities and Investments Commission,,CN1117632,2013-01-02, ,published,2012-10-07,2013-10-06,32102.40, Kodak Plasmon UDO Maintenance Renewal ,5134,Computer hardware maintenance or support,Limited tender,,,No,,No,,No,,,Kodak (Australia) Pty Ltd,,Abbotsford,3067,AUSTRALIA,No,49004057621,,,2000
Department of the Prime Minister and Cabinet,,CN1117642,2013-01-02, ,published,2012-12-03,2012-12-31,109720.00,Desktop Terminal Annual Support Services,PCON_GEN-CD001912-0,Computers,Limited tender,CD001912,,No,,No,,No,,,AUSTRALIAN SECURITY INTELLIGENCE ORG,GPO BOX 2176,CANBERRA CITY,2601,Australia,No,37467566201,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117652,2013-01-02, ,published,2012-12-14,2012-12-14,16760.00,Official visit,PCON_GEN-CA000391-0,Passenger transport,Limited tender,CA000391,,No,,No,,No,,,QUICKSILVER CONNECTIONS LIMITED,PO BOX 898,CAIRNS,4870,Australia,No,26010434269,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117662,2013-01-02, ,published,2012-09-03,2012-09-21,16500.00,Professional Development Program,PCON_GEN-CD001934-0,Education and Training Services,Limited tender,CD001934,,No,,No,,No,,,ANU GENERAL ACCOUNT,ACCOUNTS RECEIVABLE FINANCE AND BUSINESS SERVICES BLD 10C,CANBERRA,200,Australia,No,52234063906,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117672,2013-01-02, ,published,2012-12-11,2012-12-13,10537.50,Accommodation - official visit,PCON_GEN-CA000386-0,Hotels and lodging and meeting facilities,Limited tender,CA000386,,No,,No,,No,,,HYATT HOTEL CANBERRA,COMMONWEALTH AVENUE,YARRALUMLA,2600,Australia,No,18874851336,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117682,2013-01-02, ,published,2012-11-23,2012-11-23,19646.00,Professional Services,PCON_GEN-CA000377-0,Funeral services,Limited tender,CA000377,,No,,No,,No,,,H.N. OLSEN FUNERALS PTY LTD,691 OLD PRINCES HIGHWAY,SUTHERLAND,2232,Australia,No,15002651756,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117702,2013-01-02, ,published,2013-02-05,2013-02-12,20000.00,Education and Training Services,PCON_GEN-CD001937-0,Education and Training Services,Limited tender,CD001937,,No,,No,,No,,,SARDEN GROUP PTY LTD,"SUITE 503, LEVEL 5 22 MARKET STREET",SYDNEY,2000,Australia,No,43099051699,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117712,2013-01-02, ,published,2012-11-08,2012-11-10,17265.98,Accommodation - official visit,PCON_GEN-CA000374-0,Hotels and lodging and meeting facilities,Limited tender,CA000374,,No,,No,,No,,,LILYVALE HOTEL PTY LTD MASTER ACC,PO BOX H65 AUSTRALIAN SQUARE,SYDNEY,2000,Australia,No,92003643963,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117722,2013-01-02, ,published,2012-10-24,2012-10-26,17895.50,Accommodation - official visit,PCON_GEN-CA000373-0,Hotels and lodging and meeting facilities,Limited tender,CA000373,,No,,No,,No,,,LILYVALE HOTEL PTY LTD MASTER ACC,PO BOX H65 AUSTRALIAN SQUARE,SYDNEY,2000,Australia,No,92003643963,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117732,2013-01-02, ,published,2012-11-12,2012-11-15,19155.55,Transport - official visit,PCON_GEN-CA000384-0,Passenger transport,Limited tender,CA000384,,No,,No,,No,,,COMCAR,COMCAR LOCKED BAG NO. 3,FYSHWICK,2609,Australia,No,61970632495,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117742,2013-01-02, ,published,2012-12-06,2012-12-07,11480.45,Transport - official function,PCON_GEN-CA000390-0,Passenger transport,Limited tender,CA000390,,No,,No,,No,,,COMCAR,COMCAR LOCKED BAG NO. 3,FYSHWICK,2609,Australia,No,61970632495,Contracts and Procurement,Corporate Services,2600
