Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
"Gun, immobilization",0A985,,,,
Gun jump screw lathes,2B018j,,,,
Gun rifling machines,2B018k,,,,
"Gun, shotgun",0A984,,,,
Gun straightening presses,2B018l,,,,
"Gun, stun",0A985,,,,
Gyro dynamic balance stations,7B003,7B101,,,
Gyro tuning test stations,7B003,7B101,,,
Gyro run-in/motor test stations,7B003,7B101,,,
Gyro evacuation/fill stations,7B003,7B101,,,
Gyro-astro compasses & devices,7A104,,,,
Gyros & gyro components,7A102,,,,
Gyros,7A002,,,,
Gyroscope production/manufacturing/test equipment,7B003,,,,
Hafnium oxide (hafnia) (HfO2) made/coated crucibles,2A225a5,,,,
"Hafnium metal, alloys & compounds",1C231,,,,
Hafnium fluoride (HfF4) glass,6C004e,,,,
Hair type absorbers,1C001a Note 1a,,,,
Handcuffs,0A982,,,,
Handling equipment for propellants and their constituents,1B115,,,,
"Handling systems, semiconductor wafers",3B001e,,,,
Hantaan virus,1C351a11,,,,
Harbor entrance detection devices for submersible vessels,8A620c,,,,
Hard surface coated substrates,3B991b2b1,,,,
"Harnesses, complete",9A992,9A610h,,,
"Heading sensors, towed hydrophones",6A001a2b4,,,,
Heading sensors,6A001a2d,,,,
Heat exchangers for use in nuclear reactors,2A290a,,,,
Heat exchangers & condensers,2B350d,,,,
Heat pipe cooled mirrors,6A005e1,,,,
Heat sinks,3A611y3,,,,
Helicopter system development technology,7E004c,,,,
Helicopter power transfer system technology,9E003d,9E610,,,
"Helium, enriched",1C232,,,,
Helium refrigeration units,1B231b1,,,,
Helium,1C980,,,,
Helium-3,1C232,,,,
Helix Tubes,3A001b1a4,,,,
Helix traveling wave tubes (TWTs) technology,3E611b1,,,,
"Helmet, military",1A613c,1A613y1,,,
Helminthosporium oryzae (Cochliobolus miyabeanus),1C354b2,,,,
Hemishell dimensional inspection equipment/systems,2B006c,,,,
Hendra virus (Equine morbillivirus),1C351a12,,,,
Hetero-epitaxial grown multi-layer substrates,3C001,,,,
Hetero-structure semiconductor technology,3E003b,,,,
High energy storage capacitors,3A001e2,,,,
"High explosive containment vessels, chambers, containers, and similar containment devices not enumerated under ECCN 1B608 or in USML Category IV or V",1B234,,,,
High power pulse shaping networks,3A999c,,,,
High voltage capacitors,3A999c,,,,
High voltage triggers,3A999c,,,,
High-speed pulse generators,3A230,,,,
High-speed cameras,6A003,,,,
High-speed cameras and imaging devices and “components” therefore not controlled by ECCN 6A003,6A203,,,,
"High-speed cameras and imaging devices and “components” therefore, “software” “specially designed” to enhance or release the performance characteristics of devices to meet or exceed the performance characteristics described in ECCN 6A203",6D201,,,,
High-vacuum service equipment,2B999k,,,,
High-velocity gun systems,2B232,,,,
Hinges for ground vehicles,0A606y11,,,,
HIPS (Hot Isostatic Presses),2B204,,,,
HIPS (Hot Isostatic Presses),2B004,,,,
HIPS (Hot Isostatic Presses),2B104,,,,
Hogcholera virus (swine fever virus),1C352a7,,,,
"Holding or storage vessels, critically safe & resistant to nitric acid",0B006e,,,,
Hollow cylinder centrifugal balancing machines,2B229b,,,,
Holographic sights,0A987,,,,
"Honing machines, gear",2B003,,,,
"Honing machines, gear",2B003,,,,
"Hopping code generation capability, equipment with",5A002a5,,,,
Horses by sea,0A980,,,,
Hoses (brake) for ground vehicles,0A606y1,,,,
Hoses (cooling systems) for ground vehicles,0A606v7,,,,
Hoses (fuel) for gas turbine engines,9A619y3,,,,
Hoses (fuel and hydraulic) for military aircraft,9A610y10,,,,
Hoses (hydraulic system) for ground vehicles,0A606y10,,,,
Hoses for pneumatic/hydraulic/oil/fuel systems in surface vessels of war,8A609y2,,,,
Hoses (pneumatic) for ground vehicles,0A606y13,,,,
Hot isostatic presses (HIPS),2B204,,,,
"Hot isostatic densification technology/data, Al/Ti/Superalloys",2E003b2d,,,,
Hot isostatic presses (HIPS),2B004,,,,
Hot cap sealers (semi-automatic or automatic) for ceramic microcircuit,3B991b3c,,,,
Hot cell manipulators,2B225,,,,
Hot cells,0B999,,,,
Hot isostatic presses (HIPS),2B104,,,,
Hovercraft,8A001,,,,
HT-2 toxin,1C351d8,,,,
HTPB (Hydroxy-terminated polybutadiene) propellant additive,1C111b2,,,,
"Hull penetrators/connectors, fiber optic",8A002c,,,,
Human pathogens and “toxins”,1C351,,,,
Hybrid integrated circuits,3A001a Note 2,,,,
Hybrid rocket propulsion systems,9A009,,,,
Hybrid computers & components,4A001,,,,
Hybrid computers and electronic assemblies,4A994k,,,,
Hybrid computers,4A102,,,,
Hybrid computer electronic systems/electronic assemblies,4A001a,,,,
Hybrid rocket motors and components,9A109,,,,
Hydraulic fluids,1C006a,,,,
Hydraulic fluids,1C980,,,,
Hydraulic fluids,1C996,,,,
Hydraulic forming equipment,2B999b,,,,
Hydraulic fracturing items,0A998b,,,,
"Hydraulic fracturing ‘proppant,’ ‘fracking fluid,’ and chemical additives therefor",0A998b2,,,,
"Hydraulic pressing, direct-acting technology",2E003b1c,,,,
Hydraulic stretch-forming machines and dies technology,2E003c,,,,
Hydrazine,1C111d,,,,
"Hydrides of Antimony, arsenic & phosphorus",3C004,,,,
"Hydrocarbon oils, synthetic",1C996,,,,
"Hydroclave temperature, pressure or atmosphere regulation technology",1.00E+103,,,,
"Hydrodynamic calculations/modeling, software for",0D999c,,,,
Hydrofoil vessels,8A001h,,,,
Hydrofoils,8A002m,,,,
Hydrogen,1C980,,,,
Hydrogen cyanide (74-90-8),1C355b1c,1E355b3,,,
Hydrogen fluoride,1C350d7,,,,
Hydrogen fluoride (HF) lasers,6A005d5a,,,,
Hydrogen isotope storage & purification systems,1B231b2,,,,
Hydrogen refrigeration units,1B231b1,,,,
Hydrogen sulphide-water exchange tray columns,1B229,,,,
Hydrogen-cryogenic distillation columns,1B228,,,,
"Hydrophone arrays, towed acoustic",6A001a2b,,,,
Hydrophone arrays (towed) acoustic data processing source code,6D003a2,,,,
Hydrophones,6A001a2a,,,,
3-Hydroxy-1-methylpiperidine,1C350d8,,,,
Hydroxy-terminated polybutadiene (HTPB),1C111b2,,,,
ICP/MS (Inductively coupled plasma mass spectrometers),3A233a,,,,
III/V and II/VI semiconductor materials purifying or processing equipment,3B991b1b,,,,
"III/V compound substrates, gallium or indium",3C001c,,,,
Identification plates and nameplates,3A611y33,,,,
Identification plates for gas turbine engines,9A619y7,,,,
Igniters,1C608e,1C992f,,,
"Image enhancement, digital equipment",4A003,,,,
Image enhancement equipment,4A994f,,,,
Imaging devices,6A002,,,,
Imaging device manufacturing equipment and systems,3B991b Note,,,,
Image intensifier tubes & components,6A002a2,,,,
"Image intensifier tubes, direct view",6A002c1,6A002c3,,,
Image transfer equipment,3B991b2,,,,
Imaging cameras,6A003b,,,,
Imaging cameras with focal plane arrays of 6A002.a.3,6A003b4,,,,
Imaging cameras with image intensifiers of 6A002a.2.a,6A003b3,,,,
Imaging cameras incorporating solid-state detectors specified by 6A002.a.1,6A003b5,,,,
Imaging devices,6A203b3,,,,
"Imaging equipment, visible & infrared",6A002c,,,,
"Imaging sensors, multispectral and monospectral",6A002b,,,,
Immobilization guns and projectiles,0A985,,,,
Immunotoxins and vaccines,1C991,,,,
Impregnated cathodes for electronic tubes,3A001b1c,,,,
Imprint lithography equipment,3B001f2,,,,
"Improvised explosive devices (specially designed or modified disposal equipment , components, and accessories)",1A006,,,,
Improvised Explosive Devices (IED) activation devices,5A001h,,,,
IMU platform balance fixture,7B003,7B101,,,
IMU platform tester,7B003,7B101,,,
IMU stable element handling fixture,7B003,7B101,,,
Incinerators designed to destroy the chemicals controlled by 1C350,2B350j,,,,
Independent (air) power systems underwater,8A002j,,,,
Indicator dials,3A611y26,,,,
Indicator heads designed/modified for use with balancing machines in 2B119.a,2B119b,,,,
Indium organo-metallic compounds,3C003,,,,
Indium III/V compounds substrates,3C001c,,,,
Induction coil magnetometers,6A006c,,,,
"Induction furnace, controlled environment inert gas",2B226,,,,
"Induction furnace, vacuum",2B226,,,,
Inductively coupled plasma mass spectrometers (ICP/MS),3A233a,,,,
Industrial process control hardware/systems designed for power industries,1B999c,,,,
"Industrial process control hardware/systems designed for power industries controlled by 1B999, software for",1D999a,,,,
Inert gas environment induction furnaces,2B226,,,,
Inertial Measurement Equipment,7A003c,,,,
Inertial measurement equipment,7A003,,,,
Inertial measurement unit tester (IMU module),7A003,7B003,7B101,,
"Inertial navigation, systems/equipment/components",7A103a,,,,
"Inertial navigation, systems/equipment/components",7A003,,,,
Inertial navigation systems not controlled by 7A003 or 7A103,7A994,,,,
"Inertial navigation system software, source code",7D002,,,,
Inertial reference Systems (IRS),7A003c,,,,
"Inertial sensors, optical fiber",6A002d3a,,,,
Inflatable boats and components,8A992f,,,,
Inflation cartridges,8A992i,,,,
Influenza virus,1C351b1,,,,
Information security equipment software,5D992,,,,
Information security technology support software,5D002b,,,,
"Information security equipment and components, n.e.s.",5A992,,,,
Information security software,5D002,,,,
Information security systems/equipment/devices/components,5A002,,,,
Information security technology,5E992,,,,
"Information security - test, inspection, and production equipment",5B002,,,,
"Infrared detectors, industrial space qualified",6A002a1,,,,
"Infrared sensors, industrial",6A002c,,,,
Infrared viewers (police model),9A980,,,,
Inhibited red fuming nitric acid (IRFNA),1C111a3e,,,,
"Initiation systems, single or multipoint (electric)",3A232b,,,,
Injector (free electron laser photo) manufacturing or inspection equipment,6B995a2,,,,
Inorganic overlay coating application technology,2E003f,,,,
Inorganic chemicals listed in Supp. No. 1 to part 754 produced or derived from the Naval Petroleum Reserves,1C980,,,,
Inorganic fibers & filamentary materials,1C010c,,,,
Inspection equipment (linear-angular for hemishells),2B006c,,,,
Inspection equipment for composite materials,1B001f,,,,
"Inspection machines (dimensional), devices or systems, other than those in 2B006",2B206,,,,
Instruction generators for machine tools - technology,2E003d,,,,
Instrumentation for gas turbine development,9B002,9B619,,,
Instrumentation for wind tunnels,9B005,,,,
"Instrumentation systems, inertial navigation",7A003,,,,
Instrumentation cameras,6A003a,,,,
Integrated circuit assembly equipment,3B991b3,,,,
"Integrated circuit, Direct Digital Synthesizer (DDS)",3A001a13,,,,
"Integrated circuit test equipment, microwave",3B002c,,,,
"Integrated circuit test equipment, for (truth table) testing",3B002b,,,,
"Integrated circuit, masks",3B001g,,,,
"Integrated circuits, compound semiconductor",3A001a11,,,,
"Integrated circuits, custom",3A001a10,,,,
"Integrated circuits, general purpose",3A001a,,,,
"Integrated circuits, microwave",3A001b2,,,,
"Integrated circuits, radiation hardened",3A001a1,,,,
Integrated circuits and assemblies manufacturing equipment and systems,3B991b,,,,
Integrated circuit and assembly testing equipment,3B992b4b,,,,
Integrated circuit computer-aided-design (CAD) software,3D003,,,,
Integrated circuits and assemblies inspection or testing equipment and systems,3B992b,,,,
Integrated flight instrument systems/components,7A103b,,,,
"Integrated Navigation Systems, designed or modified for use in missiles",7A103c,,,,
Integrated Services Digital Network technology,5E991,,,,
"Integrated system source code, avionic/mission systems",7D003c,,,,
Integration software for expert systems,2E003e,,,,
Integration technology for flight management systems,7.00E+104,,,,
"Intercepting systems and equipment, communications",5A001f,,,,
"Intercepting devices, communications",5A980,,,,
Interconnect equipment (Computer),4A003g,,,,
Interconnection equipment,3B991b1l,,,,
"Interferometers, velocity (VISARs)",6A225,,,,
Interlacing machines,1B001c,,,,
Intermediate amplifier equipment,5A991b Note a3,,,,
"Interrupters, ground fault circuit",3A611y18,,,,
Interstages for missiles,9A117,,,,
Intrinsic magnetic gradiometers,6A006c3,,,,
Inverse synthetic aperture radar (ISAR),6A008d,,,,
Inverters (Frequency changers or converters),3A225,,,,
Ion beam equipment for mask making/semiconductor devices,3B001f2,,,,
Ion beam equipment for projection image transfer,3B991b2g,,,,
Ion beam sensitive resist materials,3C002b,,,,
"Ion beam system, manufacturing, repairing, physical layout analysis and testing of masks or semiconductor devices",3B992b6,,,,
Ion implantation equipment,3B001b,,,,
Ion implantation equipment,3B991b1g,,,,
Ion implantation production equipment,2B005b,,,,
Ion lasers,6A005a,,,,
Ion or laser beam lithography mask or reticle fabrication equipment,3B991b2d2,,,,
Ion plating production equipment,2B005g,,,,
Ion-enhanced diffusion equipment,3B991b1g,,,,
Ion-exchange processing equipment,0B006c,,,,
ISDN development/production technology,5E991,,,,
Isolated live cultures,see Cultures,,,,
Isolators capable of use with biological agents,2B352f2,,,,
"Isostatic presses, hot",2B104,,,,
"Isostatic presses, hot",2B204,,,,
"Isostatic presses, hot",2B004,,,,
"Isostatic presses, n.e.s.",2B999a,,,,
"Isotope separators, electromagnetic",1B226,,,,
Jamming equipment,5A001f3,,,,
Japanese encephalitis virus,1C351a13,,,,
Jet engine lubricating oil,1C980,,,,
"Jet vane, thrust vector control sub-system",9A106c,,,,
"Jet engines/components, pulse",9A111,,,,
"Jigs and fixtures for use in the manufacture of firearms, ordnance, and other stores and appliances for land, sea, or aerial warfare",2B018n,,,,
Joule-Thomson self-regulating minicoolers,6A002d2b6,,,,
Joy sticks,3A611y4,,,,
"Jumpers, electrica",3A611y24,,,,
Junin virus,1C351a14,,,,
"Kerr or Pocket cells, electro-optical shuttering",6A203b3c,,,,
Kick motors,9A004,,,,
Knobs,3A611y34,,,,
"Krytron tubes, gas",3A228a,,,,
Kyasanur Forest virus,1C351a15,,,,
"Laboratories (mobile), crime science",9A980,,,,
Laguna Negra virus,1C351a16,,,,
Laminate or composite development software,1D002,,,,
"Laminates & composite structures, organic metal or carbon",1A002,,,,
"Laminates, rockets/propulsion systems/space vehicles",9A110,,,,
Land inertial navigation equipment,7A003,,,,
Land-based gravity meters production equipment,6B007,,,,
Laser acoustic detection equipment,6A005a,,,,
Laser based linear position feedback units,2B008a,,,,
Laser based measuring instruments,2B006b1c,,,,
Laser beam cutting machines (CNC),2B001e1c,,,,
Laser beam equipment for mask making/semiconductor devices,3B001f2,,,,
Laser beam lithography mask or reticle fabrication equipment,3B991b2d2,,,,
"Laser beam systems, for probing semiconductor devices",3B992b5,,,,
Laser communication technique technology,5E001b2,,,,
Laser diagnostic equipment,6A005f2,,,,
Laser diodes,6A005d1,,,,
Laser diodes designed for telecommunication,5A991b Note b4,,,,
Laser gyro mirror characterization equipment,7B102,,,,
Laser microphone,6A005g,,,,
Laser pointing devices for use on firearms,0A987,,,,
Laser radar altimeters,7A106,,,,
Laser radar or Light Detection & Ranging (LIDAR) equipment,6A008j,,,,
Laser radar systems,6A108,,,,
Laser ring gyro test equipment,7B002,,,,
"Laser, technology",6E003e,,,,
Laser welding machines,2B999c,,,,
Lasers,6A005,,,,
Lasers,6A205,,,,
Lasers,6A995,,,,
Lasers for direct write on wafers,3B991b2h,,,,
Lassa fever virus,1C351a17,,,,
Lathes (CNC),2B001a,,,,
Latches for ground vehicles,0A606y11,,,,
Launch support equipment,9A115,9A610f,,,
Launch vehicle components/structures,9A010,9A610x,,,
Lavatories for military aircraft,9A610y11,,,,
Lavatories for submersible vessels,8A620y4,,,,
Lavatories for surface vessels of war,8A609y4,,,,
"LAX-112 (3,6-diamino-1,2,4,5-tetrazine-1,4-dioxide)",Annex to Category 1 List of Explosives 47b,,,,
Leg irons,0A982,,,,
Lenses for radiation hardened TV cameras,6A203c,,,,
Lidar equipment (Laser radar),6A008j,,,,
Life jackets,8A992i,,,,
Life rafts for military aircraft,9A610y12,,,,
"Lift fans, for surface effect vessels",8A002l,,,,
Light gas guns(Multistage) systems,2B232,,,,
"Light systems, fuses, and components, for ground vehicles",0A606y12,,,,
"Light systems, Stroboscopic",8A992c,,,,
"Light systems, underwater",8A002g,,,,
"Light systems, underwater",8A002d2,,,,
"Light-weight reduction gearing, marine transmissions",8A002o1d,,,,
"Lights, underwater",8A992j,,,,
"Lights, search",0A617y1,0A617y2,,,
Lightweight composite or foam mirror structures,6A004a3,,,,
Lightweight monolithic mirrors,6A004a2,,,,
Lightweight turbofan/turbojet engines,9A101,9A619a,,,
Line terminating equipment,5A991b Note a2,,,,
Linear voltage displacement transformer (LVDT) based instruments,2B006b1b1,,,,
Linear position feedback units or sensors,2B008a,,,,
Linear measuring equipment/instruments,2B006b1,,,,
Linear focal plane arrays,6A002a3,,,,
Linear-angular inspection equipment for hemishells,2B006c,,,,
"Liquid oxidizers, various nitrous oxides",1C111a3,,,,
Liquid or water jet cutting machines (CNC),2B001e1a,,,,
Liquid lasers,6A005c,,,,
Liquid propellant tanks,9A103,,,,
Liquid rocket propulsion systems & components,9A106,,,,
Liquid rocket propulsion systems & components,9A006,,,,
Liquid rocket propulsion systems,9A005,,,,
"Liquid, slurry and gel propellant control systems",9A106d,,,,
Liquid propellant rocket engines,9A105,,,,
"Liquid-liquid exchange columns, for lithium amalgams",1B233b1,,,,
"Lithium metal, alloys, compounds, mixtures, products or devices",1C233,,,,
"Lithium isotope separation facilities, plant and equipment",1B233,,,,
Lithium amalgam electrolysis cells,1B233b3,,,,
Lithium amalgam pumps,1B233b2,,,,
Lithograph templates,3B001i,,,,
"Lithography equipment, imprint",3B001f2,,,,
"Lithography equipment, mask making for semiconductor wafer-processing",3B001f,,,,
Lithography mask or reticle fabrication equipment,3B991b2d2,,,,
Lithography software,3D003,,,,
"Location & object detection systems or transmitting and receiving arrays, acoustic",6A001a1b,,,,
"Logic arrays, field programmable (FPLA)",3A001a8,,,,
Logic processors and assemblies,4A003,,,,
Louping ill virus,1C351a18,,,,
Low Light Level (LLL) camera software,6D003,,,,
Lubricating materials,1C006b,,,,
Lubricating oil,1C980,,,,
Lujo virus,1C351a19,,,,
Lumpy skin disease virus,1C352a16,,,,
LVDT (Linear voltage displacement transformer) based instruments,2B006b1b1,,,,
Lymphocytic choriomeningitis virus,1C351a20,,,,
Lyssavirus (including rabies virus and all other members of the Lyssavirus genus),1C352a8,,,,
"Machine tools, E-beam",2B001e1b,,,,
"Machine tools, laser",2B001e1c,,,,
"Machine tools, numerically controlled",2B001,,,,
"Machine tools, numerically controlled",2B201,,,,
"Machine tools, numerically controlled and using a Magnetorheological finishing (MRF) proces",2B002,,,,
"Machine tools, numerically controlled, optical finishing",2B002,,,,
"Machine tools, water/other liquid jet",2B001e1a,,,,
"Machine tool assemblies, units or inserts",2B998,,,,
Machine tool components and assemblies for 2B006 & 2B007 equipment,2B008,,,,
Machine tool cutting tools,2B008,,,,
Machine tools for generating optical quality surfaces,2B992,,,,
Machine tools for grinding (CNC),2B001c,,,,
Machine tools for grinding (CNC),2B201b,,,,
Machines for milling (CNC),2B001b,,,,
Machines for milling (CNC),2B201a,,,,
"Machine tools for turning, grinding, and milling",2B991d1,,,,
Machines for turning (CNC),2B001a,,,,
Machine tool instruction generators - development technology,2E003d,,,,
Machine tool rotary position feedback units,2B008b,,,,
Machine tool spindles,2B008c,,,,
Machining centers (CNC),2B201,,,,
Machining centers (CNC),2B001,,,,
Machupo virus,1C351a21,,,,
Magnaporthe oryzae (Pyricularia oryzae),1C354b6,,,,
Magnesium (high purity),1C228,,,,
"Magnesium alloy, powder or particulate form",1C002b1e,,,,
Magnesium alloys,1C002a2e,,,,
"Magnesium, metal and alloys of",1C011a,,,,
Magnesium oxide (MgO) made or coated crucibles,2A225a6,,,,
Magnesium metal particulate,1C111a2a4,,,,
Magnetic alloy strips,1C003c,,,,
Magnetic anomaly detection software,6D003f2,,,,
Magnetic bearings (suspension),2A001c,,,,
Magnetic compensation systems for magnetic and underwater electric field sensors,6A006d,,,,
Magnetic compensation systems software,6D003f1,,,,
Magnetic confinement plasma dry etching equipment,3B001c1a,,,,
Magnetic disk storage,3A002a6,,,,
Magnetic and Electric Field Sensors “software”,6D003f,,,,
Magnetic gradiometers,6A006c,,,,
"Magnetic gradiometers, intrinsic",6A006c2,,,,
Magnetic hard disk drive development or production technology,4E993c,,,,
Magnetic metals,1C003,,,,
"Magnetically enhanced, sputtering equipment",3B991b1f,,,,
Magnetometers,6A006,,,,
Magnetometers not controlled by 6A006,6A996a,,,,
Magnetometer system,6A006,,,,
Magnetostrictive alloys,1C003b,,,,
"Mandrels for rotor assembly, bellows forming",2B228a,,,,
"Mandrels, bellows-forming",2B228c,,,,
Mandrels (precision) for filament winding machines,1B201,,,,
"Manganin gauges, pressure",6A226a,,,,
"Manifolds (air, fuel, oil) for gas turbine engines",9A619y8,,,,
"Manipulators, remote",2B225,,,,
"Manipulators, for submersibles",8A002i,,,,
"Manned, tethered submersible vehicles",8A001a,,,,
"Manned, untethered submersible vehicles",8A001b,,,,
Manufactured gas and synthetic natural gas produced or derived from Naval Petroleum Reserves,1C984,,,,
Map cases for military aircraft,9A610y28,,,,
Maraging steel,1C116,,,,
Maraging stee,1C216,,,,
Marburg virus,1C351a22,,,,
Marine acoustic systems,6A001a,,,,
Marine boiler,8A992l,,,,
"Marine engines and parts (both inboard and outboard, n.e.s.)",8A992g,,,,
Marine gas turbine engines,9A002,,,,
"Marine, terrestrial acoustic equipment",6A991,,,,
Marx generators,3A999c,,,,
"Mask, gas or full face",1A004,1A995,,,
Mask or reticle altering holders or equipment,3B991b2d3,,,,
Mask or reticle fabrication equipment,3B991b2d,,,,
"Mask or reticles or pellicles, stored program controlled inspection equipment",3B991b2e,,,,
Mask software,3D003,,,,
Masks,8A992i,,,,
"Masks, integrated circuits of 3A001",3B001g,,,,
"Masks, mask substrates, mask-making equipment",3B991b2,,,,
Mass spectrometers & ion sources (UF6 enrichment plant),3A233,,,,
"Mass spectrometers, n.e.s.",3A999b,,,,
Materials for reduced electromagnetic reflectivity,1C101,,,,
Materials “specially designed” for ground vehicles and related commodities controlled by 0A606 and not elsewhere specified on USML,0C606,,,,
Materials “specially designed” for surface vessels of war and related commodities controlled by 8A609,8C609,,,,
Miscellaneous materials “specially designed” for military use,0C617,,,,
"Matrix, organic",1A002b,,,,
MCT (HgCdTe) crystals & epitaxial wafers,6C002b,,,,
"Measurement equipment, radiation",1A999a,,,,
"Measurement equipment, underwater velocity",6A001b,,,,
"Measuring instruments or systems, dimensional",2B006,,,,
Measuring and analysis equipment,3B992b2,,,,
"Mechanical cameras, framing",6A003a1,6A003a2,6A003a3,,
Mechanical caps,3A611y29,,,,
Mechanical plugs,3A611y30,,,,
Media access units,5A991b Note a12,,,,
Medical facilities for submersible vessels,8A620y6,,,,
Medical facilities for surface vessels of war,8A609y6,,,,
Melting furnaces,2B227b,,,,
Mercury amalgam pumps,1B233b2,,,,
Mercury cadmium telluride crystals & epitaxial wafers,6C002b,,,,
Metal alloy powders or particulate form,1C002b,,,,
Metal alloy particulate,1C111a2a4,,,,
Metal alloys,1C002a,,,,
"Metal alloys, aluminum or titanium",1C202,,,,
"Metal alloys, beryllium",1C230,,,,
"Metal alloys, boron",1C011b,,,,
"Metal alloys, hafnium",1C231,,,,
"Metal alloys, lithium",1C233,,,,
"Metal alloys, powder and material production systems and components",1B002,,,,
"Metal alloys, tungsten",1C226,,,,
"Metal alloys, tungsten or molybdenum",1C117,,,,
"Metal alloys, zirconium",1C234,,,,
Metal coated fiber preforms,9A110,,,,
Metal coated fiber preforms for fiber prepregs in 9C110,9C110,,,,
Metal or carbon matrix,1A002b,,,,
Metal embrittlement agents,0A617,,,,
"Metal-organic compounds, aluminum/gallium/indium",3C003,,,,
Metal particulate,1C011,,,,
Metal powder production equipment,1B102,,,,
Metal vapor lasers,6A005b,,,,
"Metal working process tools, die & fixture technology",2E003b1,,,,
Metal working manufacturing processes technology,2E003b,,,,
Metallo-organic or polymeric materials,1C007e,,,,
Metallurgical melting & casting furnaces,2B227,,,,
Metals or carbon coated fibers,1C010e,,,,
Metals with high initial relative (magnetic) permeability,1C003a,,,,
Methyl centralite,1C018a,,,,
Methyldiethanolamine (105-59-9),1C355b2b,,,,
Methyl phosphinyl dichloride,1C350b1,,,,
Methyl benzilate,1C350d9,,,,
Microbiological disposal technology,1E351,,,,
"Microchannel plates, image intensifier tubes",6A002a2,,,,
Microcomputer microcircuits,3A001a3,,,,
Microcontroller microcircuits,3A001a3,,,,
Microcyclus ulei (syn. Dothidella ulei),1C354b3,,,,
Microcystins (Cyanginosin),1C351d9,,,,
"Microelectronic circuits (e.g., integrated circuits and micro-circuits) rated, certified, or otherwise specified or described as meeting or exceeding all the characteristics in 9A515.d and that are “specially designed” for defense articles, “600 series” items, or items controlled by 9A515",9A515d,,,,
"Microelectronic circuits (e.g., integrated circuits and micro-circuits) that are rated, certified, or otherwise specified or described as meeting or exceeding all the characteristics in 9A515.e and that are “specially designed” for defense articles controlled by USML Category XV or items controlled by 9A515",9A515e,,,,
Microfluorination ion sources,3A233f,,,,
Micromachined Angular Rate Sensors,7A994,,,,
"Microorganisms, genetically modified",1C353,,,,
Microphones,3A611y6,,,,
Microprocessor microcircuits,3A001a3,,,,
Microprocessor microcircuits above 530 MTOPS development/production technology,3E002g,,,,
"Microwave amplifiers, solid state",3A001b4,,,,
"Microwave frequency extenders, mixers/converters",3A001b7,,,,
Microwave integrated circuit test equipment,3B002c,,,,
Microwave integrated circuits,3A001b2,,,,
Microwave modules,3A001b4,,,,
Microwave or millimeter wave components,3A001b,,,,
Microwave or millimeter wave components software,3D001,,,,
Microwave or millimeter wave components technology,3.00E+01,,,,
Microwave “monolithic integrated circuits” (MMIC) power amplifiers,3A001b2,,,,
Microwave Monolithic Integrated Circuit (MMIC) power amplifier technology,5E001d,5E001e,3.00E+01,,
Microwave power modules (MPM),3A001b9,,,,
Microwave transistors (discrete),3A001b3,,,,
Microwave test receivers,3A002f,,,,
Microwave wave components,3A001b,,,,
MIG welders,2B999d,,,,
Military commodities,0A919,,,,
Military components,3A611,,,,
Military construction equipment,0A617y,,,,
"Military electronics (equipment, end items, systems)",3A611,,,,
Military explosive production equipment,1B018a,,,,
"Military ferries, bridges and pontoons",0A617,,,,
"Military harbor entrance detection devices (magnetic, pressure, and acoustic)",8A620,,,,
Military helmet,0A018,,,,
Military training equipment,0A614,,,,
Military vehicles,0A606,,,,
Military vehicle fording kits,0A606,,,,
Military vehicle self-launching bridge components,0A606,,,,
Millimeter wave components,3A001b,,,,
"Milling machines, (CNC) with two or more coordinated axes",2B001b,,,,
"Milling machines, (CNC) with two or more coordinated axes",2B201a,,,,
Milling machines (CNC,2B991d1,,,,
"Mills, fluid energy",1B119,,,,
Mining equipment,2B999h,,,,
"Mirror assemblies/segments, space assembly",6A004c3,,,,
"Mirror characterization equipment, reflectometers",7B102b,,,,
"Mirror control equipment, phased array/segment",6A004d4,,,,
"Mirror structures, lightweight foam or composite type",6A004a3,,,,
"Mirrors, actively cooled or heat pipe cooled",6A005e1,,,,
"Mirrors, beam steering",6A004a4,,,,
"Mirrors, cockpit for military aircraft",9A610y15,,,,
"Mirrors, optical",6A005e2,,,,
"Mirrors, optical",6A004a,,,,
Missile engine combustion regulation devices,9A118,,,,
Missile (usable) guidance sets,7A117,,,,
Missile telemetry,5A101,,,,
"Missile modeling, simulation & integration software",9D103,,,,
Mixed Oxides of Nitrogen (MON),1C111a3d,,,,
"Mixers, batch",1B117,,,,
"Mixers, continuous",1B118,,,,
"Mixers, frequency extenders",3A001b7,,,,
"Mobile communications equipment, assemblies and components",5A991g,,,,
Modeccin toxin,1C351d10,,,,
"Modeling/simulation of guidance sets, software",7D103,,,,
Modems,991b2,,,,
Modular time interval meter,3A999e2,,,,
"Modules, microwave",3A001b2,,,,
"Modules/assemblies, fast switching function",3A228c,,,,
Molecular beam epitaxial growth equipment using gas sources,3B001a3,,,,
Molecular beam epitaxial growth equipment,3B991b1e,,,,
Molecular beam mass spectrometers,3A233e,,,,
Molybdenum alloy fibers,1C010c Note 2,,,,
Molybdenum & tungsten metals & alloys,1C117,,,,
"Monel equipment including valves, piping, tanks and vessels",2B999f,,,,
Monel plate,1C999c,,,,
"Monitoring equipment, radiation",1A999a,,,,
"Monitoring systems, toxic gas",2B351,,,,
Monkey pox virus,1C351a23,,,,
Monolithic integrated circuits,3A001a Note 2,,,,
